publisher,reference-count,RetractionNature
Cambridge University Press (CUP),0,Non-Retraction
American Society of Clinical Oncology (ASCO),0,Non-Retraction
Informa UK Limited,91,Non-Retraction
SAGE Publications,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
MIT Press - Journals,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Budapest International Research and Critics Institute,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Swansea University,0,Non-Retraction
Informa UK Limited,29,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
EUROKD Egitm Danismanlik Group,0,Non-Retraction
DE GRUYTER,0,Non-Retraction
Jagiellonian University,0,Non-Retraction
MDPI AG,29,Non-Retraction
"Elmer Press, Inc.",0,Non-Retraction
Elsevier BV,0,Non-Retraction
SAGE Publications,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
IEEE,0,Non-Retraction
Elsevier,45,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
EDP Sciences,0,Non-Retraction
Baishideng Publishing Group Inc.,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
American Diabetes Association,0,Non-Retraction
EDP Sciences,8,Non-Retraction
Egypts Presidential Specialized Council for Education and Scientific Research,0,Non-Retraction
Elsevier BV,0,Non-Retraction
IEEE,7,Non-Retraction
BMJ,3,Non-Retraction
Elsevier BV,23,Non-Retraction
Duke University Press,19,Non-Retraction
American Institute of Aeronautics and Astronautics,0,Non-Retraction
Elsevier BV,0,Non-Retraction
"Trans Tech Publications, Ltd.",14,Non-Retraction
IEEE Comput. Soc. Press,13,Non-Retraction
International Journal of Medical Science and Health Research,0,Non-Retraction
The Electrochemical Society,0,Non-Retraction
Edinburgh University Press,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Science Publishing Group,0,Non-Retraction
IEEE,12,Non-Retraction
Egypts Presidential Specialized Council for Education and Scientific Research,0,Non-Retraction
IEEE,12,Non-Retraction
Kuban State Medical University,5,Non-Retraction
Elsevier BV,19,Non-Retraction
Elsevier BV,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,5,Non-Retraction
IEEE,2,Non-Retraction
SAGE Publications,0,Non-Retraction
Elsevier BV,6,Non-Retraction
Elsevier BV,44,Non-Retraction
IEEE,6,Non-Retraction
Korean Academy of Oral Biology,0,Non-Retraction
Revista Cientifica da Faculdade de Balsas,0,Non-Retraction
Springer Science and Business Media LLC,43,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Mary Ann Liebert Inc,43,Non-Retraction
University of Chicago Press,0,Non-Retraction
Emerald,0,Non-Retraction
American Association for the Advancement of Science (AAAS),0,Non-Retraction
Centre for Evaluation in Education and Science (CEON/CEES),0,Non-Retraction
IOP Publishing,13,Non-Retraction
Pro Ciencia Periodicos Cientificos,0,Non-Retraction
Springer Science and Business Media LLC,22,Non-Retraction
IEEE,18,Non-Retraction
Elsevier BV,0,Non-Retraction
Wiley,0,Non-Retraction
Springer Singapore,12,Non-Retraction
Elsevier BV,3,Non-Retraction
IEEE,12,Non-Retraction
Pharmaceutical Society of Japan,0,Non-Retraction
International Society for Horticultural Science (ISHS),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Pontifical Catholic University of Sao Paulo (PUC-SP),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Brill,0,Non-Retraction
Elsevier BV,0,Non-Retraction
SAGE Publications,8,Non-Retraction
Informa UK Limited,8,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
IEEE,28,Non-Retraction
Elsevier BV,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
SAGE Publications,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
BMJ,0,Non-Retraction
Egypts Presidential Specialized Council for Education and Scientific Research,0,Non-Retraction
Ter es Tarsadalom,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Association for Research in Vision and Ophthalmology (ARVO),0,Non-Retraction
University of Chicago Press,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
IEEE,10,Non-Retraction
Springer Science and Business Media LLC,3,Non-Retraction
"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",0,Non-Retraction
Springer Science and Business Media LLC,1,Non-Retraction
BMJ,4,Non-Retraction
National Council of Teachers of Mathematics,0,Non-Retraction
Elsevier BV,0,Non-Retraction
The Endocrine Society,0,Non-Retraction
Institute of Electrical and Electronics Engineers (IEEE),14,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Harvard University Press,0,Non-Retraction
Springer Science and Business Media LLC,45,Non-Retraction
IEEE,3,Non-Retraction
American Society of Mechanical Engineers,0,Non-Retraction
Japan Soc. Appl. Phys,6,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Springer Netherlands,20,Non-Retraction
Gorgias Press,0,Non-Retraction
SAE International,39,Non-Retraction
IOP Publishing,11,Non-Retraction
RCN Publishing Ltd.,1,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Massachusetts Medical Society,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
SAGE Publications,0,Non-Retraction
Det Kgl. Bibliotek/Royal Danish Library,0,Non-Retraction
BMJ,0,Non-Retraction
BMJ,0,Non-Retraction
Springer Science and Business Media LLC,29,Non-Retraction
IEEE,2,Non-Retraction
Springer Science and Business Media LLC,15,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,5,Non-Retraction
SAGE Publications,15,Non-Retraction
Elsevier BV,7,Non-Retraction
American Physical Society (APS),34,Non-Retraction
Elsevier BV,0,Non-Retraction
Egypts Presidential Specialized Council for Education and Scientific Research,0,Non-Retraction
Egypts Presidential Specialized Council for Education and Scientific Research,0,Non-Retraction
Science Alert,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Japanese Urological Association,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Springer Berlin Heidelberg,16,Non-Retraction
Maulana Malik Ibrahim State Islamic University,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
Korean Chemical Society,19,Non-Retraction
University of Alberta Libraries,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,38,Non-Retraction
University of California Press,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Elsevier BV,18,Non-Retraction
Japan Society for Precision Engineering,7,Non-Retraction
Springer Berlin Heidelberg,0,Non-Retraction
Informa UK Limited,28,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
BMJ,0,Non-Retraction
China Science Publishing & Media Ltd.,0,Non-Retraction
Mary Ann Liebert Inc,0,Non-Retraction
Elsevier BV,8,Non-Retraction
Springer Science and Business Media LLC,12,Non-Retraction
ISEAS–Yusof Ishak Institute Singapore,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Japanese Circulation Society,0,Non-Retraction
American Physical Society (APS),33,Non-Retraction
University of California Press,59,Non-Retraction
SAGE Publications,0,Non-Retraction
Royal College of Psychiatrists,2,Non-Retraction
Elsevier BV,0,Non-Retraction
IEEE,3,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
University of Chicago Press,0,Non-Retraction
Institute of Electrical and Electronics Engineers (IEEE),0,Non-Retraction
Informa Healthcare,10,Non-Retraction
Elsevier BV,0,Non-Retraction
Springer US,3,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Amsterdam University Press,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,17,Non-Retraction
Masaryk University Press,243,Non-Retraction
IEEE,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),3,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,10,Non-Retraction
Japan Society of Mechanical Engineers,0,Non-Retraction
University of Chicago Press,0,Non-Retraction
De Gruyter,0,Non-Retraction
Elsevier BV,0,Non-Retraction
American Medical Association (AMA),0,Non-Retraction
Royal College of Psychiatrists,0,Non-Retraction
Japan Society of Mechanical Engineers,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Termedia Sp. z.o.o.,0,Non-Retraction
Elsevier BV,22,Non-Retraction
E.U. European Publishing,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Springer International Publishing,19,Non-Retraction
Elsevier BV,45,Non-Retraction
IEEE,0,Non-Retraction
IEEE,6,Non-Retraction
Oxford University Press (OUP),2,Non-Retraction
Elsevier BV,29,Non-Retraction
Elsevier BV,0,Non-Retraction
Research Square Platform LLC,0,Non-Retraction
Kowsar Medical Institute,34,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Informa UK Limited,0,Non-Retraction
SAGE Publications,0,Non-Retraction
Lutsknational Technical University,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Leuven University Press,0,Non-Retraction
American Medical Association (AMA),0,Non-Retraction
Springer Science and Business Media LLC,12,Non-Retraction
BMJ,0,Non-Retraction
Springer US,18,Non-Retraction
Elsevier BV,12,Non-Retraction
Springer Science and Business Media LLC,4,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Springer Science and Business Media LLC,2,Non-Retraction
Japan Society for Occupational Health,0,Non-Retraction
Japan Society of Mechanical Engineers,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Springer International Publishing,3,Non-Retraction
Japanese Association for Chest Surgery,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Springer Science and Business Media LLC,6,Non-Retraction
Springer Singapore,12,Non-Retraction
The International Academic Forum (IAFOR),0,Non-Retraction
BMJ Publishing Group Ltd,0,Non-Retraction
Informa UK Limited,12,Non-Retraction
The Endocrine Society,0,Non-Retraction
EDP Sciences,0,Non-Retraction
Research Square Platform LLC,0,Non-Retraction
University of Texas Press,0,Non-Retraction
IP Innovative Publication Pvt Ltd,38,Non-Retraction
De Gruyter,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Springer International Publishing,12,Non-Retraction
IEEE,9,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Elsevier BV,2,Non-Retraction
Emerald,0,Non-Retraction
Elsevier BV,15,Non-Retraction
SAGE Publications,2,Non-Retraction
IEEE,12,Non-Retraction
De Gruyter,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),21,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
IEEE,15,Non-Retraction
Rockefeller University Press,1,Non-Retraction
Elsevier BV,13,Non-Retraction
Princeton University Press,0,Non-Retraction
Informa UK Limited,7,Non-Retraction
Mahadev Publications,0,Non-Retraction
Elsevier BV,0,Non-Retraction
University of Chicago Press,0,Non-Retraction
The Japan Society of Polymer Processing,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Modern Language Association (MLA),0,Non-Retraction
Mary Ann Liebert Inc,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Universitas Bandar Lampung Publication Center,0,Non-Retraction
Wiley,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Japan Society of Corrosion Engineering,17,Non-Retraction
IEEE,8,Non-Retraction
Harvard University Press,0,Non-Retraction
The Electrochemical Society,0,Non-Retraction
Wiley,0,Non-Retraction
Elsevier BV,0,Non-Retraction
International Academy Publishing (IAP),28,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Science Alert,13,Non-Retraction
Edizioni Minerva Medica,10,Non-Retraction
Springer Science and Business Media LLC,4,Non-Retraction
Springer Science and Business Media LLC,1,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),49,Non-Retraction
Massachusetts Medical Society,0,Non-Retraction
Akshantala Enterprises Private Limited,19,Non-Retraction
Elsevier BV,1,Non-Retraction
Oekom Publishers GmbH,0,Non-Retraction
EDP Sciences,8,Non-Retraction
Springer Berlin Heidelberg,13,Non-Retraction
Modern Language Association (MLA),0,Non-Retraction
IEEE,10,Non-Retraction
University Press of Florida,0,Non-Retraction
Institute of Electrical and Electronics Engineers (IEEE),16,Non-Retraction
Walter de Gruyter GmbH,2,Non-Retraction
Elsevier BV,0,Non-Retraction
American Physical Society (APS),0,Non-Retraction
The Marine Acoustics Society of Japan,10,Non-Retraction
Elsevier BV,0,Non-Retraction
IOP Publishing,40,Non-Retraction
Cambridge University Press,0,Non-Retraction
Elsevier BV,0,Non-Retraction
IJARS Group,0,Non-Retraction
Universitas Negeri Jakarta,0,Non-Retraction
Biophysical Society of Japan,0,Non-Retraction
Springer Science and Business Media LLC,31,Non-Retraction
Springer Science and Business Media LLC,10,Non-Retraction
IEEE,0,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
Springer Berlin Heidelberg,1,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
American Society of Hematology,0,Non-Retraction
Elsevier BV,0,Non-Retraction
IEEE,20,Non-Retraction
IEEE,22,Non-Retraction
SAGE Publications,0,Non-Retraction
Brill,0,Non-Retraction
DE GRUYTER,0,Non-Retraction
BMJ,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Elsevier BV,0,Non-Retraction
"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",0,Non-Retraction
IEEE,8,Non-Retraction
AMPCo,23,Non-Retraction
Elsevier BV,0,Non-Retraction
SAGE Publications,0,Non-Retraction
Elsevier BV,22,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
Elsevier BV,8,Non-Retraction
Informa UK Limited,1,Non-Retraction
SAGE Publications,20,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
SAGE Publications,0,Non-Retraction
Instituto Metodista de Ensino Superior,0,Non-Retraction
IOS Press,0,Non-Retraction
De Gruyter,0,Non-Retraction
Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,0,Non-Retraction
Springer Netherlands,0,Non-Retraction
Elsevier BV,0,Non-Retraction
University of Chicago Press,0,Non-Retraction
SAGE Publications,0,Non-Retraction
Brill,0,Non-Retraction
IOS Press,0,Non-Retraction
American Medical Association (AMA),0,Non-Retraction
Elsevier BV,0,Non-Retraction
American Physical Society (APS),8,Non-Retraction
Centro Universitario de Maringa,0,Non-Retraction
ScopeMed,0,Non-Retraction
Hindawi Limited,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Springer Science and Business Media LLC,27,Non-Retraction
Informa UK Limited,2,Non-Retraction
Uniwersytetu Marii Curie-Sklodowskiej w Lublinie,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,7,Non-Retraction
Springer US,0,Non-Retraction
Springer Science and Business Media LLC,5,Non-Retraction
Fakultas Ekonomi dan Bisnis Unhas,0,Non-Retraction
Springer Berlin Heidelberg,1,Non-Retraction
Universitas Andalas,0,Non-Retraction
SAGE Publications,0,Non-Retraction
National Documentation Centre (EKT),0,Non-Retraction
Springer Berlin Heidelberg,5,Non-Retraction
Informa UK Limited,0,Non-Retraction
Malaga University,0,Non-Retraction
Japan Surgical Association,28,Non-Retraction
The Royal Society,0,Non-Retraction
Springer Berlin Heidelberg,30,Non-Retraction
Japan Health Physics Society,1,Non-Retraction
SPIE,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Informa UK Limited,0,Non-Retraction
IEEE,12,Non-Retraction
SAGE Publications,0,Non-Retraction
Laser Society of Japan,13,Non-Retraction
Elsevier BV,0,Non-Retraction
IEEE,13,Non-Retraction
Egypts Presidential Specialized Council for Education and Scientific Research,0,Non-Retraction
Cambridge University Press (CUP),29,Non-Retraction
Springer Science and Business Media LLC,1,Non-Retraction
Elsevier BV,1,Non-Retraction
Elsevier BV,0,Non-Retraction
IEEE,0,Non-Retraction
Canadian Science Publishing,0,Non-Retraction
Informa UK Limited,12,Non-Retraction
Japanese Society of Internal Medicine,0,Non-Retraction
ASME International,0,Non-Retraction
Springer Science and Business Media LLC,4,Non-Retraction
IEEE,10,Non-Retraction
Partners in Digital Health,0,Non-Retraction
De Gruyter,0,Non-Retraction
Elsevier BV,2,Non-Retraction
American Physical Society (APS),43,Non-Retraction
ASME International,52,Non-Retraction
Elsevier BV,0,Non-Retraction
Editorial CSIC,0,Non-Retraction
Japanese Society of Pediatric Allergy and Clinical Immunology,25,Non-Retraction
Harvard University Press,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Akshantala Enterprises Private Limited,0,Non-Retraction
Wiley,0,Non-Retraction
Yale University Press,0,Non-Retraction
IEEE,0,Non-Retraction
EDP Sciences,0,Non-Retraction
ACM Press,0,Non-Retraction
Informa UK Limited,25,Non-Retraction
IEEE,8,Non-Retraction
Elsevier BV,10,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,11,Non-Retraction
TESL Canada Federation,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Universitas Udayana,0,Non-Retraction
IEEE,0,Non-Retraction
DE GRUYTER,0,Non-Retraction
Gabler Verlag,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Japan Surgical Association,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Japan Society of Mechanical Engineers,0,Non-Retraction
Elsevier BV,0,Non-Retraction
University of Debrecen/ Debreceni Egyetem,0,Non-Retraction
Elsevier BV,0,Non-Retraction
BMJ,0,Non-Retraction
Gorgias Press,0,Non-Retraction
IOP Publishing,4,Non-Retraction
World Scientific Pub Co Pte Lt,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Universidad Nacional del Litoral,0,Non-Retraction
SAGE Publications,0,Non-Retraction
Elsevier BV,5,Non-Retraction
IEEE,15,Non-Retraction
"Institute of Social Sciences and Humanities, Skopje",0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Ridwan Institute,0,Non-Retraction
IEEE,8,Non-Retraction
SAGE Publications,15,Non-Retraction
World Scientific Pub Co Pte Lt,44,Non-Retraction
Elsevier BV,41,Non-Retraction
American Medical Association (AMA),0,Non-Retraction
Emerald,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Kuban State Medical University,25,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Informa UK Limited,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Elsevier BV,7,Non-Retraction
Mary Ann Liebert Inc,0,Non-Retraction
Duke University Press,0,Non-Retraction
Laser Society of Japan,11,Non-Retraction
International Journal of Modern Trends in Engineering and Research,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
IEEE,15,Non-Retraction
Korean Institute of Intelligent Systems,13,Non-Retraction
The Jutendo Medical Journal,3,Non-Retraction
BMJ,6,Non-Retraction
University of Toronto Press,0,Non-Retraction
Elsevier BV,1,Non-Retraction
Springer Netherlands,1,Non-Retraction
"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",0,Non-Retraction
Springer Science and Business Media LLC,7,Non-Retraction
Pleiades Publishing Ltd,26,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Springer Science and Business Media LLC,1,Non-Retraction
National and University Library of the Republic of Srpska,0,Non-Retraction
Walter de Gruyter GmbH,0,Non-Retraction
Colegio Medico del Peru,0,Non-Retraction
Elsevier BV,0,Non-Retraction
IEEE Comput. Soc. Press,16,Non-Retraction
University of Toronto Press,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Hindawi Limited,14,Non-Retraction
"Trans Tech Publications, Ltd.",19,Non-Retraction
Walter de Gruyter GmbH,0,Non-Retraction
University of Chicago Press,1,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
University of Chicago Press,0,Non-Retraction
Egypts Presidential Specialized Council for Education and Scientific Research,0,Non-Retraction
MDPI AG,26,Non-Retraction
Informa UK Limited,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Informa UK Limited,5,Non-Retraction
Informa UK Limited,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Informa UK Limited,2,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Princeton University Press,0,Non-Retraction
The Japan Institute of Energy,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Springer Science and Business Media LLC,5,Non-Retraction
Meteorological Society of Japan,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
American Medical Association (AMA),0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Emerald,0,Non-Retraction
IEEE,0,Non-Retraction
IEEE,6,Non-Retraction
University of Chicago Press,0,Non-Retraction
American Meteorological Society,0,Non-Retraction
IOP Publishing,8,Non-Retraction
Springer Berlin Heidelberg,0,Non-Retraction
Elsevier BV,0,Non-Retraction
"EMH Swiss Medical Publishers, Ltd.",0,Non-Retraction
Elsevier BV,0,Non-Retraction
Cambridge University Press (CUP),7,Non-Retraction
CBU Research Institute,0,Non-Retraction
CMA Joule Inc.,0,Non-Retraction
Springer Science and Business Media LLC,26,Non-Retraction
Queen's University Library,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Emerald,0,Non-Retraction
SPIE,0,Non-Retraction
Clute Institute,0,Non-Retraction
University of Toronto Press,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
FapUNIFESP (SciELO),0,Non-Retraction
Yale University Press,0,Non-Retraction
Duke University Press,0,Non-Retraction
Springer Netherlands,0,Non-Retraction
Elsevier BV,0,Non-Retraction
American Medical Association (AMA),0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
The Electrochemical Society,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,5,Non-Retraction
Det Kgl. Bibliotek/Royal Danish Library,0,Non-Retraction
Medknow,22,Non-Retraction
American Medical Association (AMA),0,Non-Retraction
CSIRO Publishing,0,Non-Retraction
Pushpa Publishing House,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Cambridge University Press (CUP),24,Non-Retraction
Informa UK Limited,1,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Elsevier BV,12,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Research Square Platform LLC,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
"DiscoverSys, Inc.",0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Japan Society of Mechanical Engineers,0,Non-Retraction
Gorgias Press,0,Non-Retraction
Wiley,9,Non-Retraction
Archivos de historia del movimiento obrero y la izquierda,0,Non-Retraction
American Association for the Advancement of Science (AAAS),0,Non-Retraction
Egypts Presidential Specialized Council for Education and Scientific Research,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
SAGE Publications,0,Non-Retraction
Brill,0,Non-Retraction
Princeton University Press,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Iron and Steel Institute of Japan,2,Non-Retraction
IEEE,2,Non-Retraction
Elsevier BV,3,Non-Retraction
BMJ,0,Non-Retraction
Elsevier BV,0,Non-Retraction
International Scientific Invention Journals,0,Non-Retraction
Yale University Press,0,Non-Retraction
De Gruyter,0,Non-Retraction
